"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 15 15:34:45 GMT 2023","Wed Feb 15 15:34:45 GMT 2023","0","","Login app: Login Application","","Login app: Login Application","","",""
"passed","Wed Feb 15 15:34:43 GMT 2023","Wed Feb 15 15:34:45 GMT 2023","2091","","Login app: Login Application","","Login app: Login Application","Given Login app","Given Login app",""
